EmployeeNumber,Name,Department,Education,EducationField,JobLevel,JobRole,MonthlyIncome,PerformanceRating,StudentFeedbackPercentage,FeedbackCount,PercentSalaryHike
116589,Rosalyn Priestley,4,1,1,5,5,79914,5,96.2,1,18
967246,Mariele Challis,2,4,4,3,9,15598,1,86.21,1,13
705533,Sidoney Uden,1,5,1,5,3,19603,5,51.26,1,8
783859,Ragnar Hyams,4,4,2,1,3,1543,4,50.72,1,10
325835,Angelo Ganiford,2,3,4,3,9,59189,4,46.31,1,20
432660,Allistir Cowe,2,2,2,4,6,75364,5,94.31,1,3
909387,Claybourne Pearcey,2,1,1,3,8,14353,3,86.04,1,3
874185,Zulema Brayson,3,3,4,3,9,39046,3,30.92,1,6
448465,Dex Balme,5,3,4,4,3,79567,4,55.32,1,8
206734,Marina Lamputt,1,2,4,1,1,28791,2,9.84,1,16
707855,Perle Coveney,4,3,2,3,1,89899,1,31.39,1,7
105561,Marlane Aitchinson,5,2,1,2,3,73331,3,53.26,1,19
977858,Guenna Semour,3,3,5,1,5,1302,4,62,1,20
126180,Georgianna Harlick,2,2,5,2,10,53152,1,62.52,1,15
245137,Margaret Troughton,4,4,3,5,4,76362,2,18.09,1,11
949009,Mae Barthod,5,5,3,2,3,82592,5,62.25,1,14
571433,Ira Formoy,3,1,2,4,7,86159,1,21.56,1,19
444310,Paton Moline,1,3,5,4,3,53435,3,2.96,1,13
349803,Christiane Danneil,3,4,3,5,5,65353,3,8.52,1,2
852127,Olin Sked,2,1,4,4,8,11369,5,69.35,1,6
254590,Hamish Carder,1,4,5,5,1,65580,4,60.6,1,18
499537,Stearn Holbarrow,5,5,5,1,8,61941,5,41.8,1,15
560366,Anjanette Dempster,4,1,1,3,3,40335,1,63.61,1,13
517027,Odell Counihan,4,3,3,1,9,17824,2,85.57,1,19
928571,Trumann Goold,2,1,3,2,2,70554,1,16.1,1,17
966464,Ashil Fidelus,4,3,3,5,7,36295,5,46.17,1,7
990160,Krista Srawley,1,4,5,1,4,83181,5,74.72,1,18
471023,Florence Singleton,2,2,3,3,1,50900,3,20.25,1,8
245976,Eward Hamilton,4,3,2,3,1,53808,3,59.83,1,16
186306,Josy Barth,4,1,4,2,2,40929,3,44.38,1,20
619899,Gerri Villa,3,5,1,2,8,28574,4,84.95,1,9
663956,Issi Elloway,5,1,5,5,10,46132,2,4.32,1,5
227287,Gilberta Isenor,2,3,3,3,6,48407,1,46.58,1,5
31939,Aristotle Gorcke,5,1,1,4,6,33637,3,6.16,1,5
846045,Kristo Waghorne,4,4,1,3,3,89594,5,59.52,1,2
479907,Evin Ebunoluwa,1,1,1,2,8,81629,1,89.31,1,18
690210,Cordelie Wardale,2,5,1,3,8,41135,3,33.07,1,0
425780,Osborne Baggiani,2,5,3,1,1,79910,3,58.33,1,9
525170,Chiquia Kobiera,3,4,5,2,7,75732,5,64.85,1,16
73595,Lyell Lyptratt,1,4,4,4,2,16324,3,11.08,1,2
50071,Gerladina Markos,5,2,4,5,7,24025,3,14.51,1,1
41674,Lonnard Speachley,1,2,1,2,1,89427,3,31.47,1,13
378233,Josiah Gater,4,1,5,3,3,31269,3,76.57,1,3
708463,Margarita Pheby,3,2,3,2,5,84902,5,19.12,1,19
58534,Magdalen O' Concannon,2,5,4,4,5,19833,2,38.65,1,5
695792,Linn Sebert,3,3,2,2,4,77908,4,75.94,1,10
648311,Royal Vaughan-Hughes,2,1,5,2,1,41462,5,52.14,1,17
440381,Llewellyn Filipic,5,5,1,4,2,23408,4,25.19,1,19
687422,Madelon Redley,3,3,2,3,10,58923,2,9.79,1,16
145035,Dalis Ferney,2,3,3,2,9,60608,4,65.16,1,7
884357,Blake Merrington,4,3,1,2,5,19350,5,11.18,1,12
442527,Alaster Valintine,2,1,5,2,8,29654,2,94.48,1,2
524023,Mandi Indge,3,1,3,5,6,76513,2,74.85,1,19
130778,Jere Breazeall,4,5,4,2,1,73164,5,1.27,1,4
717312,Foss Roland,5,5,4,2,2,29237,4,93.26,1,2
894626,Bethina Gawke,4,2,3,5,4,40275,3,35.65,1,8
372039,Eveleen Rapinett,5,2,4,5,7,5546,2,29.83,1,15
586833,Paulo Crathern,1,4,3,4,6,81502,2,40.63,1,10
58038,Sallyanne McGuff,1,1,5,4,1,84818,1,28.31,1,13
635075,Chaim Hodgets,2,3,2,4,10,60533,1,61.39,1,20
232977,Granville Gosenell,1,1,2,2,9,71131,2,34.72,1,4
338670,Elsey Braferton,5,2,1,5,6,18208,1,92.3,1,2
28873,Hana Mielnik,3,4,4,3,7,28544,4,4.37,1,19
615864,Brendan Moorcroft,4,3,4,2,4,88223,3,5.85,1,17
496987,Celinda Belli,4,5,2,3,2,57464,1,85.81,1,11
655127,Roderick Tytler,2,4,3,2,3,57888,1,76.72,1,14
481989,Amalea Tolchard,2,4,5,2,2,40249,5,96.68,1,0
418829,Babette Sincock,3,4,3,1,10,65948,1,13.03,1,15
191596,Anastasia Vamplew,4,1,4,2,2,69155,3,50.42,1,5
550308,Arlen Algore,2,3,2,5,6,77636,1,28.27,1,2
634352,Salomon Dax,1,5,5,2,5,84417,4,65.8,1,8
268355,Cloe Giroldo,2,5,2,2,9,31396,5,15.3,1,5
276900,Ninon Snailham,2,1,4,1,7,1995,3,25.97,1,10
86683,Candis Storton,1,2,3,1,7,74512,4,64.38,1,18
353380,Rosalind Durbin,5,3,4,4,3,38373,2,81.63,1,11
841818,Israel Rassmann,3,5,5,3,7,52323,4,18.03,1,9
266015,Anabelle Sneath,2,5,1,1,10,31914,3,31.35,1,3
487522,Wenona Verbrugge,3,3,2,5,10,34316,2,77.43,1,4
969395,Duff Fidge,2,4,5,1,3,89350,1,10.89,1,18
655892,Karissa Blanche,4,2,5,2,7,47435,4,11.11,1,15
564015,Andrea O'Neil,4,2,3,4,5,14612,4,38.61,1,7
225822,Faulkner Jude,5,3,5,5,5,17380,2,92.18,1,16
152329,Astrid Pomeroy,3,5,3,4,8,27211,3,48.87,1,18
571730,Ford Loveridge,2,5,2,3,4,77411,2,16.3,1,13
836296,Sammie Dade,4,2,3,2,1,52763,2,64.24,1,8
731079,Astrid Derobert,5,1,5,4,2,4199,5,94.58,1,15
676138,Valma Tregidgo,5,5,3,2,9,26714,2,71.39,1,15
514803,Danica Drewett,5,4,5,4,2,8726,4,24.65,1,9
109220,Caldwell Aslott,3,5,5,5,3,20206,5,95.49,1,5
311283,Dimitri Medland,4,2,5,3,8,63544,5,36.47,1,10
297536,Clareta Boylin,5,4,2,3,8,35384,5,23.76,1,13
808434,Ettie Candlish,4,4,4,4,1,3488,5,55.28,1,12
309527,Rice Bromage,1,4,4,1,7,14429,2,79.75,1,0
543181,Elsi Khosa,1,5,5,2,3,76582,1,3.1,1,16
39800,Micky Dargan,1,1,3,3,6,35008,5,37.95,1,15
149948,Michael Antoshin,5,1,4,5,4,6629,2,67.12,1,4
44677,Arnold Oxlee,3,3,5,2,9,5810,3,36.97,1,13
603160,Dasi Kilsby,4,1,3,2,3,26879,4,1.46,1,14
155275,Aurthur D'Andrea,3,1,5,1,7,75895,5,3.79,1,18
890517,Nertie Pafford,5,4,1,5,2,46460,3,40.42,1,13
764502,Wilie Feander,3,2,1,4,5,8448,2,20.12,1,9
627054,Concordia Matussov,3,5,2,2,10,22132,4,95.01,1,6
496980,Mead Kemster,1,4,5,2,3,72583,2,48.96,1,5
537225,Madelle Lysons,3,2,5,4,9,61109,5,68.54,1,18
68186,Verine Mathen,4,5,2,5,5,70858,5,32.27,1,1
621490,Julie Boissier,4,4,2,1,10,69591,5,40.26,1,3
734936,Rubin Emnoney,5,5,2,3,5,84923,2,23.55,1,12
861228,Shayne Coatman,2,4,2,4,2,84215,2,92.92,1,10
248849,Babb Heugel,2,2,1,2,4,35688,3,32.38,1,13
603013,Auberta Jacobowits,3,5,2,5,6,45245,1,22.22,1,1
907618,Mattie Shorie,5,4,5,4,2,63303,4,53.34,1,12
485405,Patric Mynett,3,2,5,3,7,55530,5,3.86,1,6
189660,Dion Stanaway,5,1,3,2,5,35770,3,31.57,1,12
204113,Serena Pieper,4,1,2,3,9,6801,4,91.2,1,6
209744,Maximilianus Crannell,2,3,3,5,4,85514,1,97.93,1,3
765972,Shelby Graddell,5,5,1,4,1,38497,3,59.28,1,16
432963,Kathi Charrier,5,2,1,3,5,14872,5,70.53,1,4
373963,Anatole Blonden,2,1,5,5,1,52252,1,89.06,1,13
588662,Vyky Quadri,5,3,5,3,1,1977,3,45.39,1,9
20222,Roselin Meegin,3,4,2,2,2,35312,5,4.14,1,5
17072,Rey Whiff,3,4,5,4,7,24235,2,67.74,1,2
187167,Sherry Guthrie,3,2,1,4,9,68906,2,79.49,1,10
914045,Thatch Swiers,4,5,5,1,3,28716,4,48.64,1,6
918223,Del Dionsetto,1,4,1,1,6,24300,4,95.78,1,18
176991,Bernetta Howlings,4,2,2,1,8,70567,2,6.75,1,5
809207,Keri Pauleit,3,3,2,4,9,35294,2,54.08,1,16
751542,Kiele Fannon,4,3,5,2,5,17318,1,37.64,1,19
675578,Ronald Wonter,2,2,3,1,9,57043,1,24.1,1,5
125229,Shelba Hannigane,5,5,1,1,1,78669,4,79.39,1,12
168811,Vivie Vere,2,1,1,4,1,64667,2,11.93,1,7
276823,Susanne Stemp,4,1,2,1,8,4866,1,28.62,1,18
253435,Chrysler Leaf,2,1,4,5,7,19401,5,82.92,1,0
134678,Isidro Verbeke,3,2,1,3,5,69718,1,61.59,1,6
859640,Yolanthe Piwell,1,2,1,1,3,81859,2,22.53,1,5
455296,Rosy Orrell,3,3,3,2,6,63834,5,33.33,1,12
329786,Dale Burgill,1,5,5,3,8,81564,1,63.29,1,8
222258,Fabe Braferton,5,4,5,1,7,34789,3,39.83,1,13
346763,Cynthea Godridge,4,4,1,5,2,75021,4,19.33,1,10
837554,Rawley Ivasyushkin,4,2,4,4,1,74787,5,5.75,1,2
239820,Joell Collumbine,5,5,2,2,10,71212,3,79.42,1,19
896159,Noak Over,4,5,5,1,7,83411,2,41.9,1,10
180821,Honor Chasle,4,3,5,2,5,86267,1,0.82,1,5
549840,Alic Crathorne,4,5,3,4,10,10702,4,68.48,1,3
853678,Korrie Budge,2,2,1,2,1,22681,4,90.86,1,17
643070,Theodoric Axworthy,3,4,5,3,9,75082,2,36.26,1,18
742483,Farand Ellard,1,4,2,2,4,36824,3,84.74,1,3
286327,Berna Plowes,2,3,4,3,5,80828,2,68.92,1,15
693097,Bekki Gagie,4,5,1,5,1,5852,2,89.21,1,11
52978,Valentina Ridgewell,3,1,3,1,9,78424,2,50.06,1,4
709731,Berthe Matejic,1,2,2,4,6,30648,1,33.49,1,6
878922,Norrie Patifield,4,3,4,3,3,38262,5,13.55,1,2
725148,Jeannine Navein,4,1,3,3,7,75347,3,41.29,1,10
793429,Irvine Glisane,3,3,2,3,4,37349,4,2.82,1,14
963399,Cordelie Maurice,1,5,1,5,2,28462,5,41.92,1,19
556201,Domenic Klimushev,4,5,1,4,5,81546,3,37.19,1,11
909952,Verge Wordley,2,3,2,3,5,40708,4,94.01,1,0
639164,Lainey Tartt,2,2,4,5,10,65069,3,18.53,1,11
389252,Andrea Renner,4,2,4,3,9,71905,2,98.5,1,19
519523,Halli Attewill,1,3,3,4,5,83574,3,44.24,1,19
826415,Raven Ricarde,5,2,2,3,10,85343,2,70.35,1,5
156056,Merle Callinan,5,5,1,4,3,11127,1,43.24,1,9
301772,Gloria Blair,2,4,3,3,5,83180,2,34.53,1,18
796169,Fair Duley,2,5,3,5,4,54630,5,60.55,1,17
238574,Myrtice Kitcher,3,1,3,1,5,85938,4,39.68,1,14
228490,Pearla Pottiphar,2,3,3,1,8,13131,2,31.79,1,8
73283,Perl Gouldsmith,1,1,2,1,8,21944,5,57.03,1,15
232247,Barnard Pigney,1,3,2,2,9,30182,3,4.87,1,9
774001,Erick Skirven,1,2,2,2,5,21723,5,30.29,1,4
222830,Constance Ellwand,1,3,4,2,2,39286,5,83.13,1,10
408433,Aubree Gorvin,5,2,2,5,9,14191,4,29.51,1,15
495213,Rani Bewicke,1,2,2,2,9,50813,2,31.55,1,17
996415,Cherilynn Waterhouse,4,3,2,2,7,24819,3,50.09,1,16
411355,Cary Bernhardsson,5,3,1,5,8,73016,4,63.77,1,19
143893,Price Hallsworth,1,5,3,2,7,77371,3,47.46,1,7
159724,Pepito Worcs,2,1,1,3,10,31031,5,98.18,1,6
50058,Enid Haggie,2,1,3,5,4,18503,4,62.08,1,8
417659,Thorstein Blei,3,1,3,2,2,87637,1,89.01,1,12
66421,Marget MacAndrew,2,3,2,2,1,15037,3,43.97,1,14
120681,Lambert Vossing,5,1,5,3,1,68901,4,81.95,1,2
305035,Skippy Fernier,4,3,2,4,4,77927,3,91.28,1,16
91151,Lazaro Ducarel,2,5,2,1,1,3110,1,94.42,1,1
402292,Oliviero Bradly,4,4,1,2,2,15694,5,32.22,1,1
477998,Tallie Starsmeare,1,4,3,3,7,54353,1,99.97,1,19
578872,Beverlie McKerlie,5,4,5,1,4,4560,2,91.33,1,14
904949,Pierce Hoggin,2,2,2,3,4,13888,4,99.92,1,18
327365,Jillane Durrell,2,4,5,3,5,43886,4,73.82,1,11
608606,Minerva Edes,3,3,5,3,4,80997,2,52,1,14
841497,Nichols Tritten,1,4,5,3,9,18914,5,79.27,1,4
788666,Sheila-kathryn Brilon,3,3,2,3,3,23951,5,87.75,1,16
155878,Rodina Eldon,4,2,3,4,10,74694,4,92.69,1,3
533058,Felizio Compford,2,3,1,5,10,81735,3,11.85,1,12
190258,Tansy Dugall,3,2,4,3,1,31780,3,7.87,1,3
532752,Alina Caldecourt,1,1,2,4,3,62348,1,44.91,1,2
56155,Barnett Giametti,1,5,1,5,7,55226,4,93.64,1,13
727212,Biddy Buckam,5,4,3,3,2,88287,3,70.01,1,9
926426,Damien Januszkiewicz,2,1,1,1,1,51655,3,18.17,1,8
661281,Herculie Hallatt,3,5,5,5,3,10027,3,51.54,1,18
528671,Jan Purchall,3,3,2,1,6,14170,4,49.03,1,13
814589,Alie Petheridge,2,5,1,3,3,30756,2,13.09,1,10
542511,Rodie Zecchinii,4,1,3,1,5,15457,1,6.15,1,0
625063,Elsworth Perillo,4,2,3,2,7,79096,2,70.63,1,2
771560,Creighton Gay,5,4,2,1,6,47394,3,55.85,1,13
397011,Tonye Temporal,1,3,3,5,4,60558,3,19.61,1,15
624619,Bank Woolens,3,5,5,2,7,19562,2,17.08,1,9
848723,Giacomo Merryman,2,1,3,4,8,26440,3,24.21,1,7
799517,Dreddy Kesey,5,2,2,3,3,3690,4,53.54,1,10
568432,Martguerita Read,3,2,2,3,7,44721,2,95.6,1,2
206729,Hilly Hattam,2,3,4,5,7,76273,1,55.93,1,4
248999,Maure Place,3,4,3,1,7,79992,3,79.02,1,15
139007,Mable MacKonochie,2,4,3,2,7,58730,5,49.32,1,8
503259,Mufi Perford,4,3,1,3,10,6817,5,79.74,1,4
252230,Kariotta Ernshaw,3,5,3,4,4,35426,5,58.14,1,13
495341,Bogart Pawfoot,5,3,2,2,10,87565,4,19.64,1,17
86831,Lotty Chapleo,1,3,4,4,7,82543,2,18.25,1,12
617076,Auguste Pressland,2,1,5,2,5,47763,1,79.35,1,11
721984,Rora Gething,1,1,3,2,6,3410,5,50.04,1,5
284780,Stephanie Cocker,1,3,1,1,6,32123,1,38.18,1,9
507517,Amelie Gheeraert,3,3,3,1,7,9441,3,98.01,1,9
7396,Cliff Loffhead,1,2,2,2,6,63233,3,79.16,1,7
953923,Ermin Umbert,3,4,2,3,3,57669,3,65.02,1,7
997855,Mortimer Whybray,4,2,4,4,6,80936,5,75.1,1,13
748411,Davey Olle,5,1,5,5,2,67834,1,15.3,1,19
118432,Almira Fechnie,2,5,2,1,6,71571,2,14.48,1,2
948892,Kippy Harley,5,5,4,5,9,67736,1,35.16,1,5
589292,Mildred Tuer,2,2,1,3,4,88405,4,34.9,1,14
921820,Jae Tree,1,5,5,1,3,11198,2,15,1,9
298446,Kenneth McQuie,3,2,1,4,2,42966,4,41.71,1,4
990479,Nanice Hupka,3,2,1,2,6,2147,2,48.56,1,6
880844,Ines Boyack,1,4,5,5,10,29345,2,64.22,1,4
690635,Lucy Szimoni,2,3,1,3,6,40936,2,11.1,1,18
644895,Lyle Calafate,3,3,5,4,1,71717,5,60.48,1,9
5088,Beverly Lowde,1,4,1,4,2,41290,2,54.56,1,10
396144,Henrieta Gayler,4,2,1,4,1,85599,2,42.87,1,15
29254,Morgun Siggers,4,5,4,3,7,7647,5,88.7,1,18
128058,Dorene Prewett,1,3,5,4,7,20543,5,80.94,1,4
950936,Helge Leys,5,2,1,3,5,20047,5,18.69,1,19
521783,Valeria Bowles,4,4,1,3,9,79114,2,62.55,1,12
548104,Atlante Hanbury,2,1,4,4,1,62900,5,39.21,1,4
376151,Gerta Klink,2,2,5,2,10,53745,2,2.72,1,0
41458,Stormie Patrono,4,4,2,2,7,27844,5,83.19,1,3
861752,Hersh Ovenden,5,4,1,3,10,32379,1,14.24,1,20
454921,Casie Hembery,4,1,4,3,5,52246,4,83.4,1,3
568194,Web Edington,5,2,5,1,3,48400,3,4.12,1,16
285260,Creighton Lahive,1,3,3,2,10,60866,1,91.58,1,1
771834,Jelene Bragginton,2,1,4,5,8,23954,5,77.95,1,6
570396,Tish Fentem,2,2,5,1,3,896,4,93.59,1,19
22643,Yancey Spurryer,4,2,1,3,6,77628,3,60.46,1,6
284556,Quintus Kearford,5,2,5,4,7,75805,5,44.49,1,13
244577,Jordan Glenny,4,1,5,5,10,7772,5,31.19,1,16
807102,Nelle Lafee,2,2,3,1,6,48192,3,57.66,1,2
822583,Hilde Lankford,3,2,3,2,3,83122,3,59.74,1,18
74506,Carlynn Filinkov,4,2,4,5,5,69657,2,21.68,1,15
16134,Janine Antognoni,1,5,1,5,7,7965,3,57.46,1,11
619883,Flynn Jimes,2,2,4,2,3,89999,3,78.67,1,6
934970,Stan Fernan,2,1,4,3,8,78541,1,43.82,1,1
811686,Langsdon Lockless,1,5,3,2,2,22785,2,92.71,1,4
648923,Eb Gaynes,1,3,1,1,7,33371,1,6.26,1,9
101121,Sherrie Littlemore,3,4,3,5,1,17745,5,98.95,1,14
533326,Ferd McCowan,3,1,2,2,10,57466,2,21.43,1,4
878064,Carmelita Binton,1,3,5,3,9,39741,5,72.24,1,7
66240,Arlie Rowantree,1,3,5,3,7,70191,5,21.21,1,13
344967,Maurizia De Laci,2,3,4,4,1,83913,2,84.3,1,1
901065,Adelaida Corlett,4,3,2,2,10,70391,5,66.19,1,11
896047,Theresita Turmel,5,1,5,4,10,78450,1,24.81,1,8
973162,Silvanus Sturte,5,4,4,3,2,31416,2,42.05,1,10
436000,Auria Reeds,4,4,5,5,9,41778,2,64.26,1,8
731943,Deva Cussins,2,2,1,5,10,47316,5,5.3,1,10
128510,Agnella Hamon,5,1,5,1,2,16145,3,12.88,1,8
228296,Laurence Eastwell,3,5,1,5,6,44995,3,77.05,1,2
635955,Garrett Betteridge,4,5,4,3,8,23450,3,54.81,1,10
920065,Alyce Raggles,2,2,1,3,9,31645,1,74.52,1,3
49187,Sissy Nairns,1,1,4,3,8,34606,1,11.7,1,5
412451,Justina Vannuchi,2,2,5,5,3,8077,5,33.98,1,3
346289,Rodolphe Castard,1,5,2,5,4,3639,3,55.13,1,20
21316,Georgi Ferrierio,1,5,5,2,2,52351,2,55.38,1,2
879311,Billie Cawsby,3,4,2,5,1,44702,2,51.76,1,16
995906,Araldo Wivell,5,2,5,3,8,87953,3,59.08,1,19
224772,Eba Meeson,2,3,4,4,7,20775,5,77.79,1,4
622780,Eduard Tewkesberrie,2,2,3,4,4,54600,4,4.32,1,0
268960,Dannye Beetlestone,1,1,2,4,5,9896,2,64.05,1,16
839062,Leigh Littleover,5,1,3,2,1,26857,4,75.61,1,0
121480,Waylen Girardeau,3,1,2,1,8,46179,4,85.56,1,20
699449,Sonnie Tomkowicz,5,2,3,2,3,19884,2,18.06,1,6
908853,Jeniece Billion,1,1,3,3,3,67139,3,81.77,1,0
303353,Lynnet Collete,5,4,2,4,3,64235,5,2.29,1,19
824576,Claudius Skotcher,2,4,4,1,5,4157,3,47.18,1,17
251664,Vittoria Reynish,3,2,1,4,7,6399,1,83.56,1,7
744919,Nelia Aime,3,4,4,5,7,87410,2,3.02,1,2
511343,Farr Middiff,4,5,4,2,5,66023,5,94.75,1,19
344131,Nanni Searle,5,1,4,3,9,6159,5,44.4,1,15
538394,Rudie Stonall,5,1,3,3,5,73391,4,60.28,1,7
492518,Jose Vogeller,2,4,1,4,7,64612,4,70.82,1,15
856430,Norby Palfree,1,4,2,4,3,30160,1,7.09,1,3
738096,Veradis Colvin,1,2,1,1,1,33691,3,17.78,1,10
276608,Sherie Leupold,3,2,4,1,3,80235,2,69.93,1,17
395309,Carmine Fewlass,3,2,1,5,9,18521,4,34.85,1,15
611876,Frans Renols,1,2,2,4,2,77885,1,39.81,1,18
88258,Marja Penkethman,1,5,4,2,3,54937,1,15.37,1,12
566391,Eugenius Verzey,2,2,2,1,2,77658,2,17,1,0
935015,Corby Jost,5,4,1,4,9,11597,3,58.37,1,7
341265,Rebekah Lowton,2,1,2,2,9,40253,1,95.66,1,20
555957,Wilden Winspare,1,2,5,5,1,42579,5,89.57,1,12
732288,Florella Admans,2,2,2,2,4,38552,3,74.85,1,0
827232,Emilia Classen,3,4,3,1,8,53554,3,70.53,1,19
265197,Lynnea Hugues,2,1,5,1,9,78685,1,62.98,1,5
165745,Rena Walkden,3,2,1,5,4,20594,3,4.31,1,8
274127,Corina Rowlson,4,4,4,2,4,42226,2,17.09,1,18
597360,Gideon Elsy,2,5,2,5,8,23868,4,22.37,1,6
882759,Reginald Amerighi,1,2,1,4,10,8924,1,67.54,1,12
514202,Filberte Whittleton,1,4,3,4,10,26445,2,43.22,1,3
91783,Merilee Knyvett,3,3,1,2,3,32218,5,26.31,1,6
528351,Aaron Lamburne,3,2,5,2,5,67132,5,87.34,1,7
188615,Siobhan Jodrelle,5,1,4,4,2,36328,5,6.83,1,0
727892,Matias Giraudeau,3,5,1,3,7,75449,5,36.88,1,5
27851,Bernarr Puttergill,3,3,2,2,4,11993,1,95.22,1,14
5142,Teddy Mancell,1,3,4,4,1,31493,4,33.76,1,15
466105,Liv Fosten,3,5,5,2,7,38517,4,41.89,1,18
322666,Alon Kermitt,4,5,1,4,8,30971,1,60.49,1,2
164901,Frayda Titmarsh,3,5,5,5,6,35635,2,10.5,1,16
324448,Myrlene Larcombe,2,5,1,2,5,171,3,69.15,1,12
289515,Alica Beebee,1,5,5,4,6,46627,5,22.64,1,4
98719,Belicia Oaten,3,2,1,4,10,19801,4,72.28,1,6
271295,Bobbee Boland,1,2,5,1,9,29537,2,97.87,1,13
31533,Sophi Rizzetti,2,4,2,1,9,35452,4,73,1,19
284155,Symon Franklen,3,3,4,3,4,36414,1,27.8,1,8
567282,Foss Clerc,1,5,3,4,3,81777,3,1.56,1,3
842260,Garland Blandamere,5,5,1,2,9,42940,2,51.55,1,16
564495,Kylynn Boddice,4,5,4,5,2,17657,1,19.81,1,17
512211,Egon Laughtisse,1,5,4,4,8,54542,1,16.99,1,8
672394,Cicily Creer,3,5,4,4,8,48559,1,79.34,1,1
247875,Annette Durham,1,5,1,1,7,51072,4,41.59,1,4
364553,Chevy Annand,2,2,3,4,4,25597,1,4.33,1,0
717644,Anastasia Gleader,5,1,2,4,9,55517,4,27.74,1,8
197417,Wilma Vercruysse,4,4,3,3,1,42881,4,86.1,1,17
818276,Briano Gaddas,1,5,1,5,5,37295,2,94.2,1,0
888634,Natale Glover,4,1,1,2,1,83580,4,78.38,1,2
552888,Gunilla Franceschino,1,3,2,4,10,67969,1,1.81,1,1
235843,Agneta Graffin,1,4,3,3,5,55312,4,93.56,1,2
996221,Derward Mitchard,2,1,1,2,1,45968,2,58.88,1,11
142999,Royal Hawthorne,1,3,4,4,5,17018,4,29.98,1,5
987740,Nikos McKimmey,4,2,3,2,10,89516,3,76.19,1,4
757493,Kermy Jennens,2,2,5,4,7,30895,2,35.04,1,3
788347,Gerick Tipler,2,3,1,1,10,84322,1,93.76,1,18
425678,Maryanna Bendelow,1,2,2,2,2,4148,1,39.64,1,8
345534,Nolly Mennithorp,2,5,4,2,10,25204,5,53.65,1,9
397720,Revkah Bonifazio,3,4,1,3,1,89173,2,61.91,1,1
229603,Hazel Kleinert,4,2,4,2,3,5958,4,68.8,1,1
79380,Rafferty Benedit,1,4,5,5,7,83637,4,66.74,1,2
104680,Magdalen Ricarde,4,1,2,2,8,10281,1,96.71,1,10
153570,Elaina Woolcocks,2,3,2,5,3,61396,3,23.2,1,12
963652,Tatiana Mounter,2,4,4,1,10,70673,3,95.28,1,7
460636,Marleen Coddrington,2,1,1,2,6,680,2,68.23,1,3
423868,Twila Saffin,4,5,3,3,3,4220,2,96.03,1,6
541049,Marlon Spurdon,5,4,1,1,4,52304,4,89.44,1,16
394806,Letitia Windham,5,5,1,2,5,4860,1,71.82,1,2
634528,Brandi Errett,2,2,2,1,8,43240,4,72.98,1,9
380944,Mauricio Ballham,3,1,3,2,10,3483,1,11.17,1,3
376322,Wit Alelsandrowicz,4,2,4,4,9,10922,2,28.77,1,19
353980,Kristoforo Bostock,4,4,4,4,9,14002,1,1.17,1,2
278288,Kore Hanwright,3,3,4,2,4,45346,2,70.77,1,6
105265,Cherilyn Keune,4,2,1,1,6,7798,3,88.37,1,7
15084,Lucie Abramino,3,3,3,3,7,85803,2,34.56,1,7
292578,Koral Kiraly,1,2,1,3,3,10873,2,30.14,1,0
116334,Diarmid Rowth,3,5,1,2,3,12976,4,88.14,1,14
686167,Reider Blick,2,3,3,4,10,24147,5,35.83,1,9
269308,Cecily Smorfit,4,4,5,5,3,39543,1,18.12,1,0
965583,Pattie Prendergrass,4,1,3,1,5,42495,1,60.64,1,17
678046,Marge Evered,1,4,1,3,5,18019,3,74.4,1,17
556883,Feliza O'Lenechan,3,4,2,3,8,40215,4,21.44,1,1
77710,Lisette Kynston,2,5,5,3,8,33316,3,84.35,1,20
315967,Gerrard Wilmore,5,2,2,3,5,33614,1,87.51,1,14
903450,Sarette Kebbell,2,5,4,4,3,27409,3,62.84,1,9
314184,Nell Philler,1,3,4,4,7,2078,3,66.95,1,3
964184,Melva Koles,5,1,1,5,7,19048,4,26.7,1,4
788906,Sarette Shadfourth,5,2,1,5,8,82417,4,60.18,1,20
982244,Bonni Welbelove,2,4,4,3,3,32946,4,82.1,1,14
795470,Sophie Drepp,2,1,4,3,3,80990,4,27.64,1,12
664949,Ware Kermitt,5,1,4,3,6,67388,3,30.18,1,16
515737,Donnie Kunzelmann,5,1,5,3,9,78802,3,50.44,1,10
407471,Lydia Towll,2,5,1,5,8,65778,4,15.8,1,4
520178,Morly Tilliard,4,2,1,2,9,61855,4,99.45,1,3
677825,Baird Dunford,5,3,4,1,3,73210,5,64.39,1,11
796100,Dill Danilchenko,3,2,2,2,9,67708,1,71.56,1,5
936246,Prudy Palfrey,3,4,1,1,4,1856,1,63.29,1,12
417442,Anselm Tittershill,4,4,4,1,7,85626,2,86.59,1,5
231516,Gerome Baxstair,2,2,4,3,5,46094,1,36.46,1,3
764814,Urbanus Maffi,5,4,3,1,7,40143,5,94.89,1,8
401881,Jean Blesdill,1,5,3,4,4,56476,5,23.38,1,4
684715,Pia Elis,4,5,5,2,10,3963,1,59.19,1,4
464473,Jessee Bedder,3,1,1,2,2,57941,2,88.81,1,8
605544,Gerianne Reidshaw,1,4,1,5,6,78609,2,22.54,1,16
995660,Loella Mattusov,4,3,2,5,8,81402,5,81.78,1,16
644898,Dulcia Wentworth,4,4,2,4,9,68287,2,6.51,1,13
566459,Vi Bloxham,5,5,1,4,5,13644,1,25.28,1,20
